"stdr_de","ph_value","cod_value","ss_value","tn_value","tp_value"
"11/9/2019 12:00","7.1","5.9","1.7","1.976","0.084"
"11/10/2019 12:00","7.1","6","1.7","2.373","0.054"
"11/11/2019 12:00","7.1","5.8","1.8","3.166","0.057"
"11/12/2019 12:00","7.1","5.5","2.1","1.951","0.059"
"11/13/2019 12:00","7.1","5.9","1.8","1.964","0.076"
"11/14/2019 12:00","7.1","5.7","1.7","2.105","0.108"
"11/15/2019 12:00","7","6","1.8","2.203","0.139"
"11/16/2019 12:00","7","5.4","1.8","1.774","0.115"
"11/17/2019 12:00","7","5.3","1.7","2.082","0.126"
"11/18/2019 12:00","7","5.1","1.8","2.186","0.078"
"11/19/2019 12:00","7","5","1.9","1.813","0.108"
"11/20/2019 12:00","7","4.8","1.8","1.315","0.101"
"11/21/2019 12:00","7","4.8","2","1.617","0.141"
"11/22/2019 12:00","7","4.9","1.7","2.168","0.134"
"11/23/2019 12:00","7","4.6","1.7","2.26","0.11"
"11/24/2019 12:00","7","5.2","1.9","2.496","0.213"
"11/25/2019 12:00","7","5.1","1.7","2.468","0.045"
"11/26/2019 12:00","7","5","1.7","1.091","0.045"
"11/27/2019 12:00","7","4.9","1.7","1.186","0.049"
"11/28/2019 12:00","7","5.1","2","1.204","0.082"
"11/29/2019 12:00","7","4.8","1.7","1.346","0.074"
"11/30/2019 12:00","7","5.2","1.7","1.491","0.062"
"12/1/2019 12:00","6.9","5.6","1.7","1.783","0.091"
"12/2/2019 12:00","6.9","5.4","1.7","1.934","0.086"
"12/3/2019 12:00","7","5.1","1.7","2.483","0.133"
"12/4/2019 12:00","6.9","5","1.7","2.474","0.188"
"12/5/2019 12:00","6.9","4.7","1.7","2.559","0.181"
"12/6/2019 12:00","","","","",""
"12/7/2019 12:00","6.9","4.8","1.7","3.074","0.211"
"12/8/2019 12:00","6.9","4.6","1.8","3.182","0.16"
"12/9/2019 12:00","6.9","4.6","1.8","3.313","0.135"
"12/10/2019 12:00","6.8","4.3","1.7","2.688","0.138"
"12/11/2019 12:00","6.8","4.4","1.7","2.452","0.101"
"12/12/2019 12:00","6.9","4.4","1.7","2.603","0.127"
"12/13/2019 12:00","6.9","4.4","1.7","2.558","0.13"
"12/14/2019 12:00","6.9","4.7","1.7","2.943","0.141"
"12/15/2019 12:00","6.8","4.4","1.7","3.408","0.111"
"12/16/2019 12:00","6.9","4.4","1.7","3.27","0.154"
"12/17/2019 12:00","6.8","4.6","1.7","2.928","0.144"
"12/18/2019 12:00","6.8","5.1","1.7","2.526","0.141"
"12/19/2019 12:00","6.9","5","1.6","2.592","0.176"
"12/20/2019 12:00","6.9","4.9","1.7","2.856","0.139"
"12/21/2019 12:00","6.9","4.8","1.7","3.244","0.166"
"12/22/2019 12:00","6.9","4.9","1.7","3.173","0.18"
"12/23/2019 12:00","6.8","4.9","1.7","3.587","0.136"
"12/24/2019 12:00","6.8","4.6","1.7","3.294","0.129"
"12/25/2019 12:00","6.9","4.6","1.7","2.87","0.167"
"12/26/2019 12:00","6.8","4.5","1.9","3.191","0.124"
"12/27/2019 12:00","6.8","4.9","1.7","3.659","0.136"
"12/28/2019 12:00","6.8","4.9","1.7","3.939","0.149"
"12/29/2019 12:00","6.9","5","1.7","3.869","0.197"
"12/30/2019 12:00","6.8","5","1.7","3.491","0.177"
"12/31/2019 12:00","6.9","4.3","1.7","3.352","0.15"
